UNIT FILE                                  STATE           PRESET
sigpwr.target                              static          -
sleep.target                               static          -
slices.target                              static          -
smartcard.target                           static          -
sockets.target                             static          -
soft-reboot.target                         static          -
sound.target                               static          -
suspend-then-hibernate.target              static          -
suspend.target                             static          -
swap.target                                static          -
sysinit.target                             static          -
system-update-pre.target                   static          -
system-update.target                       static          -
time-set.target                            static          -
time-sync.target                           static          -
timers.target                              static          -
umount.target                              static          -
usb-gadget.target                          static          -
veritysetup-pre.target                     static          -
veritysetup.target                         static          -
apt-daily-upgrade.timer                    enabled         enabled
apt-daily.timer                            enabled         enabled
dpkg-db-backup.timer                       enabled         enabled
e2scrub_all.timer                          enabled         enabled
fstrim.timer                               enabled         enabled
systemd-sysupdate-reboot.timer             disabled        enabled
systemd-sysupdate.timer                    disabled        enabled
systemd-tmpfiles-clean.timer               static          -

254 unit files listed.
