
活动连接

  协议  本地地址          外部地址        状态
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:49258          *:*                    
  UDP    0.0.0.0:49259          *:*                    
  UDP    0.0.0.0:49436          *:*                    
  UDP    0.0.0.0:50116          *:*                    
  UDP    0.0.0.0:50117          *:*                    
  UDP    0.0.0.0:50302          *:*                    
  UDP    0.0.0.0:51354          *:*                    
  UDP    0.0.0.0:51355          *:*                    
  UDP    0.0.0.0:51356          *:*                    
  UDP    0.0.0.0:51677          *:*                    
  UDP    0.0.0.0:51867          *:*                    
  UDP    0.0.0.0:51878          104.17.117.12:443      
  UDP    0.0.0.0:52333          *:*                    
  UDP    0.0.0.0:53249          *:*                    
  UDP    0.0.0.0:53482          *:*                    
  UDP    0.0.0.0:53851          *:*                    
  UDP    0.0.0.0:53852          *:*                    
  UDP    0.0.0.0:53853          *:*                    
  UDP    0.0.0.0:53854          *:*                    
  UDP    0.0.0.0:53855          *:*                    
  UDP    0.0.0.0:53992          6.6.6.6:45678          
  UDP    0.0.0.0:54002          *:*                    
  UDP    0.0.0.0:54421          *:*                    
  UDP    0.0.0.0:54798          *:*                    
  UDP    0.0.0.0:54799          *:*                    
  UDP    0.0.0.0:55747          *:*                    
  UDP    0.0.0.0:55748          *:*                    
  UDP    0.0.0.0:55749          *:*                    
  UDP    0.0.0.0:55918          *:*                    
  UDP    0.0.0.0:56792          *:*                    
  UDP    0.0.0.0:57219          *:*                    
  UDP    0.0.0.0:57220          *:*                    
  UDP    0.0.0.0:57221          *:*                    
  UDP    0.0.0.0:57489          *:*                    
  UDP    0.0.0.0:58007          *:*                    
  UDP    0.0.0.0:58681          *:*                    
  UDP    0.0.0.0:58689          *:*                    
  UDP    0.0.0.0:58690          *:*                    
  UDP    0.0.0.0:58693          *:*                    
  UDP    0.0.0.0:60445          *:*                    
  UDP    0.0.0.0:62579          43.175.144.40:443      
  UDP    0.0.0.0:62825          *:*                    
  UDP    0.0.0.0:64122          *:*                    
  UDP    0.0.0.0:65141          *:*                    
  UDP    0.0.0.0:65149          *:*                    
  UDP    0.0.0.0:65150          *:*                    
  UDP    0.0.0.0:65151          *:*                    
  UDP    0.0.0.0:65222          *:*                    
  UDP    0.0.0.0:65266          114.114.114.114:53     
  UDP    0.0.0.0:65363          *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:9997         *:*                    
  UDP    127.0.0.1:37200        *:*                    
  UDP    127.0.0.1:51200        *:*                    
  UDP    127.0.0.1:57426        *:*                    
  UDP    127.0.0.1:58680        127.0.0.1:58680        
  UDP    127.0.0.1:58683        127.0.0.1:58684        
  UDP    127.0.0.1:58684        127.0.0.1:58683        
  UDP    192.168.0.249:137      *:*                    
  UDP    192.168.0.249:138      *:*                    
  UDP    192.168.0.249:1900     *:*                    
  UDP    192.168.0.249:2200     *:*                    
  UDP    192.168.0.249:5353     *:*                    
  UDP    192.168.0.249:53999    *:*                    
  UDP    192.168.0.249:54000    *:*                    
  UDP    192.168.0.249:57425    *:*                    
  UDP    [::]:123               *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:51868             *:*                    
  UDP    [::]:53250             *:*                    
  UDP    [::]:58682             *:*                    
  UDP    [::]:65141             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:57424            *:*                    
